"year","industry_aggregation_nzsioc","industry_code_nzsioc","industry_name_nzsioc","units","variable_code","variable_name","variable_category","value","industry_code_anzsic06"
2024,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H01","Total income","Financial performance",6048,"ANZSIC06 groups A011, A012, and A013"
2024,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H04","Sales, government funding, grants and subsidies","Financial performance",5591,"ANZSIC06 groups A011, A012, and A013"
2024,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H05","Interest, dividends and donations","Financial performance",246,"ANZSIC06 groups A011, A012, and A013"
2024,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H07","Non-operating income","Financial performance",211,"ANZSIC06 groups A011, A012, and A013"
2024,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H08","Total expenditure","Financial performance",5626,"ANZSIC06 groups A011, A012, and A013"
2024,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H09","Interest and donations","Financial performance",461,"ANZSIC06 groups A011, A012, and A013"
2024,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H10","Indirect taxes","Financial performance",47,"ANZSIC06 groups A011, A012, and A013"
2024,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H11","Depreciation","Financial performance",406,"ANZSIC06 groups A011, A012, and A013"
2024,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H12","Salaries and wages paid","Financial performance",1049,"ANZSIC06 groups A011, A012, and A013"
2024,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H13","Redundancy and severance","Financial performance",0,"ANZSIC06 groups A011, A012, and A013"
2024,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H19","Purchases and other operating expenses","Financial performance",3638,"ANZSIC06 groups A011, A012, and A013"
2024,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H20","Non-operating expenses","Financial performance",25,"ANZSIC06 groups A011, A012, and A013"
2024,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H21","Opening stocks","Financial performance",437,"ANZSIC06 groups A011, A012, and A013"
2024,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H22","Closing stocks","Financial performance",455,"ANZSIC06 groups A011, A012, and A013"
2024,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H23","Surplus before income tax","Financial performance",440,"ANZSIC06 groups A011, A012, and A013"
2024,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H24","Total assets","Financial position",22813,"ANZSIC06 groups A011, A012, and A013"
2024,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H25","Current assets","Financial position",3551,"ANZSIC06 groups A011, A012, and A013"
